[6],[5],[1]
"[0, 4]",[1],[7]
[5],"[7, 2]",[5]
"[6, 1]",[7],[8]
"[5, 4]",[8],[4]
"[0, 2]","[4, 2]",[9]
"[4, 4]",[3],[0]
[8],[1],[6]
"[0, 1]","[2, 3]",[7]
"[3, 3]",[4],"[5, 4]"
[1],"[3, 8]",[2]
"[2, 0]","[1, 5]","[7, 4]"
[4],"[0, 1]",[6]
[8],"[2, 9]",[4]
[2],[3],"[3, 8]"
"[9, 2]","[3, 0]","[7, 3]"
"[7, 4]","[2, 6]",[2]
"[2, 6]",[0],[0]
[3],"[7, 3]","[2, 9]"
"[9, 5]","[0, 8]","[7, 1]"
[1],[2],[2]
[5],"[9, 1]",[6]
"[2, 9]",[3],[6]
[7],[7],"[7, 8]"
[2],"[5, 4]",[9]
[6],"[2, 9]",[4]
"[8, 1]",[8],"[3, 1]"
[0],[1],"[8, 7]"
"[9, 4]",[1],[1]
"[0, 7]","[7, 6]",[0]
[1],[1],[5]
"[0, 4]","[8, 2]",[7]
[0],[3],"[4, 9]"
[6],"[6, 9]","[3, 2]"
[5],[8],"[2, 0]"
"[1, 8]","[7, 8]","[1, 9]"
"[2, 4]","[1, 0]",[1]
[6],"[3, 3]","[8, 6]"
"[9, 2]","[1, 2]","[1, 8]"
[2],[5],"[7, 3]"
"[7, 2]",[4],"[8, 8]"
"[7, 7]",[7],[9]
"[9, 7]",[5],[1]
"[2, 1]",[7],[2]
[9],[4],[6]
"[2, 1]",[0],[1]
[6],"[3, 4]","[1, 0]"
"[3, 6]",[7],[6]
"[5, 0]",[0],"[8, 7]"
"[2, 2]","[9, 4]",[3]
