"[9, 4]","[7, 6]","[1, 5]"
"[1, 4]",[9],[0]
[7],"[8, 6]",[3]
[2],"[8, 5]","[1, 1]"
"[4, 9]","[4, 0]","[0, 2]"
[5],[5],"[9, 1]"
[5],[6],"[0, 6]"
[1],[4],"[2, 6]"
[9],[4],[4]
"[5, 9]",[0],[3]
[7],[9],[1]
[7],[6],[1]
"[7, 3]",[7],[6]
[0],"[4, 0]","[4, 5]"
"[8, 6]",[6],"[4, 3]"
[0],[8],[2]
"[1, 8]","[7, 9]",[5]
"[0, 7]","[6, 0]","[7, 4]"
"[6, 0]",[5],"[4, 0]"
"[1, 7]","[9, 9]","[3, 0]"
[4],[2],"[2, 4]"
"[1, 3]","[1, 6]",[5]
[4],"[8, 7]","[1, 9]"
"[3, 9]","[3, 2]",[9]
[4],"[3, 3]","[6, 9]"
[6],[8],"[1, 0]"
"[4, 7]",[4],[7]
"[0, 9]","[9, 6]","[2, 0]"
[8],"[4, 5]","[8, 9]"
"[8, 0]",[3],[7]
"[2, 2]","[5, 9]",[0]
"[8, 3]","[5, 6]",[5]
"[1, 9]",[3],[6]
"[9, 5]","[5, 3]","[0, 3]"
[8],[2],"[0, 9]"
"[2, 4]","[5, 2]",[6]
[5],"[7, 7]",[1]
"[6, 8]","[4, 0]",[4]
[6],"[9, 4]","[4, 1]"
"[6, 4]","[6, 4]",[6]
"[4, 3]",[8],"[6, 4]"
[0],"[5, 5]","[4, 3]"
[7],[2],"[9, 1]"
[1],"[2, 8]",[9]
"[0, 9]",[6],[7]
"[0, 9]",[4],"[5, 9]"
"[5, 2]","[2, 0]","[2, 5]"
"[6, 4]",[9],[5]
[4],"[0, 1]","[0, 4]"
[9],"[8, 4]",[6]
